Model,Make,Type,Capacity,Cap. Range,Purpose,Engine Cat.,Engine Num.,Utility,Surveillance,Touring,Airshows/Aerobatics,Recreational Flying,Crop Dusting,Cargo/Freight,Flight Training,Commercial Airline Service,Private Charter,Business/Corporate Flying,Medical Evaluation,Private Use
369e,Boeing,Helicopter,five seat,<10,light multi-purpose helicopter,one engine,1,1,1,1,0,0,0,0,0,0,0,0,0,0
m75,Boeing,byplane,two seat,<10,vintage military biplane trainer,one engine,1,0,0,0,1,1,1,0,0,0,0,0,0,0
md11,Boeing,airplane,285 to 410 passengers,>200,wide-body commercial jet airliner,three engines,3,0,0,0,0,0,0,1,0,1,1,0,0,0
560,Cessna,airplane,11 seat,>10,small business jet,two engines,2,0,0,0,0,0,0,0,0,0,1,1,1,0
195,Cessna,airplane,five seat,<10,light general aviation aircraft,one engine,1,0,0,1,0,1,0,0,0,0,0,0,0,1
185,Cessna,airplane,six seat,<10,general aviation aircraft,one engine,1,1,0,1,0,0,1,0,0,0,0,0,0,0
pa20,Piper,airplane,four seat,<10,general aviation aircraft,one engine,1,0,0,1,0,1,0,0,0,0,0,0,0,1
pa44,Piper,airplane,four seat,<10,flight training aircraft,two engines,2,0,0,1,0,0,0,0,1,0,0,0,0,1
J5,Piper,airplane,two seat,<10,general aviation aircraft,one engine,1,1,0,0,0,1,0,0,1,0,0,0,0,0
